problem,category,fix_family,vault_demand,vault_income,difficulty_1_10,cost_band,time_band,lever,multiple_delta,what_a_fix_is,falsifiable_probe
Low profit margins,More Profit & Better Cash Flow,price,9,10,6,Under $1k,2-4 weeks,Earnings,0.05,Reprice against real cost-to-serve and end discount creep.,"What is your gross margin, to the nearest five points, without looking?"
No exit or long-term plan,More Freedom & Control for the Owner,direction,7,10,7,$5-20k,Two quarters+,Multiple,0.18,"A written plan with a target date, a target buyer, and the gap between here and there.",Write down where this business is in three years and what you want out of it. Can you?
No clear target audience,More Revenue,offer,10,9,3,Under $1k,Days,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
No outbound or prospecting system,More Revenue,crm,10,9,4,$1-5k,2-4 weeks,Multiple,0.12,One system of record where the pipeline lives outside anyone's head.,"Open your CRM now. Is every live deal in it, with a next step and a date?"
Underpriced offers,More Profit & Better Cash Flow,price,9,9,4,Under $1k,Days,Earnings,0.05,Reprice against real cost-to-serve and end discount creep.,"What is your gross margin, to the nearest five points, without looking?"
No consistent leads,More Revenue,traffic,10,9,5,$5-20k,A quarter,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
No backend offers,More Revenue,expand,8,9,5,Under $1k,Days,Earnings,0.04,Add the obvious next purchase and present it at the moment of highest trust.,"What is your average order value, and what is the second thing you sell?"
Low close rates,More Revenue,salesproc,10,9,5,$1-5k,2-4 weeks,Both,0.08,"Documented stages, scripts, and objection handling anyone on the team can run.",What percentage of your qualified conversations became customers last quarter?
No content machine generating demand,More Revenue,traffic,10,9,5,$5-20k,A quarter,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
Weak value proposition,More Revenue,offer,10,9,5,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
Offer doesn’t match audience needs,More Revenue,offer,8,9,5,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
No pricing strategy,More Profit & Better Cash Flow,price,8,9,5,Under $1k,Days,Earnings,0.05,Reprice against real cost-to-serve and end discount creep.,"What is your gross margin, to the nearest five points, without looking?"
Unpredictable cash flow,More Profit & Better Cash Flow,cash,10,9,5,Under $1k,Days,Earnings,0.04,"Automate invoicing and collection, shorten terms, take payment up front.",How many days pass between work delivered and cash in the bank?
No budgeting or financial planning,More Profit & Better Cash Flow,visibility,10,9,5,$1-5k,2-4 weeks,Multiple,0.13,"One dashboard, closed monthly, that answers any question in under a minute.","Without opening anything: last month's revenue, margin, and cash on hand."
Race-to-the-bottom competition,More Profit & Better Cash Flow,offer,8,9,5,Under $1k,2-4 weeks,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
No crisis management plan,More Predictability & Less Risk,resilience,6,9,5,$1-5k,2-4 weeks,Multiple,0.11,"A one-page contingency plan per single point of failure, reviewed quarterly.","If your biggest channel or customer vanished on Monday, what is the written plan?"
Overreliance on referrals,More Predictability & Less Risk,concentration,10,9,5,$5-20k,Two quarters+,Multiple,0.22,Deliberately grow the tail against a hard concentration ceiling.,"What percentage of revenue comes from your largest single client, product, or channel?"
"Platform risk (Instagram, TikTok, Ads)",More Predictability & Less Risk,resilience,9,9,5,$1-5k,2-4 weeks,Multiple,0.11,"A one-page contingency plan per single point of failure, reviewed quarterly.","If your biggest channel or customer vanished on Monday, what is the written plan?"
Founder doing most tasks,Better Team Performance & Execution,ownerdep,10,9,5,$5-20k,Two quarters+,Multiple,0.32,Move decisions and relationships out of your head into named owners with authority limits.,"If you disappeared for 30 days with no contact, what breaks first?"
Poor delegation,Better Team Performance & Execution,ownerdep,10,9,5,$5-20k,Two quarters+,Multiple,0.32,Move decisions and relationships out of your head into named owners with authority limits.,"If you disappeared for 30 days with no contact, what breaks first?"
Chronic overwork,More Freedom & Control for the Owner,foundertime,10,9,5,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Founder working nights/weekends,More Freedom & Control for the Owner,foundertime,10,9,5,Under $1k,2-4 weeks,Multiple,0.1,"Reclaim the calendar: cut meetings, batch, hand off work below your pay grade.","How many hours did you personally work last week? Last week, not a typical one."
Organic traffic too low,More Revenue,traffic,10,9,6,$5-20k,Two quarters+,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
Low lifetime value (LTV),More Revenue,retain,8,9,6,$1-5k,Two quarters+,Both,0.14,Onboarding and success motion that makes the second purchase the default.,What percentage of last year's customers bought again this year?
No testing or optimization system,More Revenue,measure,8,9,6,$1-5k,A quarter,Both,0.07,"A standing testing cadence with a decision rule, not opinions.","What did you test last month, and what did it prove?"
Offer solves a non-urgent problem,More Revenue,offer,9,9,6,Under $1k,A quarter,Earnings,0.05,Sharpen the promise and the audience until the offer does the selling.,"In one sentence: what specific outcome do you promise, to whom, by when?"
Unpredictable lead flow,More Revenue,traffic,10,9,6,$5-20k,Two quarters+,Both,0.06,Build one repeatable acquisition channel and instrument it end to end.,"How many people who had never heard of you touched your business last month? People, not impressions."
Low website conversion rates,More Revenue,convert,10,9,6,$1-5k,A quarter,Earnings,0.03,"Fix the page, the friction, and the pricing presentation — in that order.","Of 100 people who reach your checkout or booking page, how many complete?"
Confusing funnel structure,More Revenue,convert,8,9,6,$1-5k,A quarter,Earnings,0.03,"Fix the page, the friction, and the pricing presentation — in that order.","Of 100 people who reach your checkout or booking page, how many complete?"
Dependence on one-time sales,More Profit & Better Cash Flow,recurring,10,9,6,$1-5k,Two quarters+,Multiple,0.28,Convert one-off work to written recurring agreements with auto-renewal.,What share of next quarter's revenue is already contracted or subscribed?
Weak retainer offers,More Profit & Better Cash Flow,recurring,8,9,6,$1-5k,Two quarters+,Multiple,0.28,Convert one-off work to written recurring agreements with auto-renewal.,What share of next quarter's revenue is already contracted or subscribed?
High subscription churn,More Profit & Better Cash Flow,recurring,9,9,6,$1-5k,Two quarters+,Multiple,0.28,Convert one-off work to written recurring agreements with auto-renewal.,What share of next quarter's revenue is already contracted or subscribed?
Overspending on ads,More Profit & Better Cash Flow,paid,9,9,6,$5-20k,Two quarters+,Earnings,0.02,Rebuild the unit economics before spending another dollar on media.,"What does it cost you to acquire one paying customer, all-in?"
High cost per acquisition,More Profit & Better Cash Flow,paid,10,9,6,$5-20k,Two quarters+,Earnings,0.02,Rebuild the unit economics before spending another dollar on media.,"What does it cost you to acquire one paying customer, all-in?"
